I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,weloveLilEnnsy,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,weloveLilEnnsy
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,double_jump_active,jump_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,9.718585014343262,0.04323980212211609,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,9.752021789550781,0.03343639895319939,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,9.794721603393555,0.04269940033555031,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,9.838046073913574,0.043324798345565796,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,9.881142616271973,0.043097902089357376,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,9.925009727478027,0.04386729747056961,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,9.969125747680664,0.04411640018224716,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,10.012596130371094,0.04347020015120506,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,10.056055068969727,0.04345940053462982,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,10.099174499511719,0.0431194007396698,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,10.132943153381348,0.033768899738788605,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,10.17568588256836,0.04274360090494156,300,,,,,
