I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,Robloxlegend844
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,dodge_active,double_jump_active,jump_active,boost,boost_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,double_jump_active,dodge_active,jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.009967803955078,0.03788430243730545,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,254.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.047989368438721,0.038021598011255264,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,248.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.087402820587158,0.03941350057721138,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,247.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.123940467834473,0.036537401378154755,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.162631034851074,0.03869049996137619,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.200725078582764,0.03809399902820587,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.238773822784424,0.03804919868707657,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.277608871459961,0.03883500024676323,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.314657211303711,0.037048302590847015,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.353204250335693,0.038547299802303314,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,254.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.390682697296143,0.03747819736599922,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,217.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.428552627563477,0.03786979988217354,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,128.0,True,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.466909885406494,0.03835730254650116,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,0.0,True,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.50537109375,0.03846139833331108,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,0.0,True,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.543135166168213,0.03776400163769722,300,,,,,
