I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,slugs?,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,slugs?
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,double_jump_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,double_jump_active,boost,boost_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.005425453186035,0.04016460105776787,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.044733047485352,0.03930719941854477,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.086143493652344,0.041410498321056366,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.127538681030273,0.041394900530576706,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.16317892074585,0.03564000129699707,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.201688766479492,0.038509998470544815,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.2418670654296875,0.04017850011587143,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.282008647918701,0.040141500532627106,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,198.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.321310520172119,0.03930170089006424,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.360540866851807,0.03923039883375168,300,,,,,
