I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,ENDGamers3
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,boost,boost_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,double_jump_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,137.0,128.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.053700923919678,0.037639301270246506,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,137.0,128.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.092229843139648,0.03852919861674309,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,138.0,128.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.129189968109131,0.03696059808135033,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,138.0,128.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.166759967803955,0.03756999969482422,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,138.0,128.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.204846382141113,0.038086701184511185,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,174.0,128.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.242912292480469,0.03806620091199875,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,174.0,128.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.280511856079102,0.03759929910302162,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,189.0,86.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.319942474365234,0.039430901408195496,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,189.0,86.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.358731746673584,0.03878900036215782,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,191.0,87.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.3966240882873535,0.03789209946990013,300,,,,,
